GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-afloresblas,domain,Oliver,181,0,22,0,44,0,19,0,8,0
practica-calificada-1-afloresblas,domain,Students,33,0,0,0,14,0,7,0,7,0
practica-calificada-1-afloresblas,domain,Author,23,0,0,0,10,0,5,0,5,0
practica-calificada-1-afloresblas,domain,BookTitle,28,0,0,0,11,0,6,0,6,0
practica-calificada-1-afloresblas,domain,BookCopy,51,0,2,0,18,0,10,0,9,0
